Province,DateTime,Wind,Temp
Saraburi,2020-08-06 01:00 Local,175° @ 6,25.3
Saraburi,2020-08-06 04:00 Local,175° @ 6,24.8
Saraburi,2020-08-06 07:00 Local,180° @ 6,24.8
Saraburi,2020-08-06 10:00 Local,175° @ 7,26.6
Saraburi,2020-08-06 13:00 Local,235° @ 9,30.9
Saraburi,2020-08-06 16:00 Local,245° @ 9,30.8
Saraburi,2020-08-06 19:00 Local,185° @ 7,27.7
Saraburi,2020-08-06 22:00 Local,175° @ 10,26.4
Saraburi,2020-08-07 01:00 Local,175° @ 8,25.3
Saraburi,2020-08-07 04:00 Local,160° @ 6,24.9
Saraburi,2020-08-07 07:00 Local,180° @ 7,25.5
Saraburi,2020-08-07 10:00 Local,195° @ 9,26.7
Saraburi,2020-08-07 13:00 Local,230° @ 11,28.1
Saraburi,2020-08-07 16:00 Local,215° @ 11,29
Saraburi,2020-08-07 19:00 Local,175° @ 6,26.4
Saraburi,2020-08-07 22:00 Local,170° @ 9,25.5
Saraburi,2020-08-08 01:00 Local,155° @ 8,24.9
Saraburi,2020-08-08 04:00 Local,160° @ 7,24.5
Saraburi,2020-08-08 07:00 Local,175° @ 7,25.5
Saraburi,2020-08-08 10:00 Local,210° @ 12,29.7
Saraburi,2020-08-08 13:00 Local,225° @ 10,31.8
Saraburi,2020-08-08 16:00 Local,210° @ 13,31.7
Saraburi,2020-08-08 19:00 Local,170° @ 12,27.2
Saraburi,2020-08-08 22:00 Local,170° @ 11,26
Saraburi,2020-08-09 01:00 Local,160° @ 11,25.5
Saraburi,2020-08-09 04:00 Local,160° @ 10,25.4
Saraburi,2020-08-09 07:00 Local,170° @ 9,25.9
Saraburi,2020-08-09 10:00 Local,190° @ 16,29.5
Saraburi,2020-08-09 13:00 Local,205° @ 18,31.6
Saraburi,2020-08-09 16:00 Local,180° @ 13,31.5
Saraburi,2020-08-09 19:00 Local,160° @ 14,28
Saraburi,2020-08-09 22:00 Local,175° @ 11,26.7
Saraburi,2020-08-10 01:00 Local,170° @ 8,26.1
Saraburi,2020-08-10 04:00 Local,185° @ 8,25.9
Saraburi,2020-08-10 07:00 Local,170° @ 13,26
Saraburi,2020-08-10 10:00 Local,205° @ 18,29.8
Saraburi,2020-08-10 13:00 Local,220° @ 18,31.9
Saraburi,2020-08-10 16:00 Local,230° @ 15,31
Saraburi,2020-08-10 19:00 Local,210° @ 10,27.3
Saraburi,2020-08-10 22:00 Local,225° @ 12,26.8
Saraburi,2020-08-11 01:00 Local,205° @ 8,25.6
Saraburi,2020-08-11 04:00 Local,200° @ 8,25.4
Saraburi,2020-08-11 07:00 Local,175° @ 8,25.6
Saraburi,2020-08-11 10:00 Local,215° @ 18,29.7
Saraburi,2020-08-11 13:00 Local,225° @ 14,32.3
Saraburi,2020-08-11 16:00 Local,235° @ 18,31.7
Saraburi,2020-08-11 19:00 Local,205° @ 12,27.5
Saraburi,2020-08-11 22:00 Local,185° @ 9,26.5
Saraburi,2020-08-12 01:00 Local,180° @ 7,26.1
Saraburi,2020-08-12 04:00 Local,190° @ 7,25.7
Saraburi,2020-08-12 07:00 Local,180° @ 8,25.7
Saraburi,2020-08-12 10:00 Local,200° @ 14,29
Saraburi,2020-08-12 13:00 Local,215° @ 12,30.5
Saraburi,2020-08-12 16:00 Local,180° @ 13,30.1
Saraburi,2020-08-12 19:00 Local,180° @ 9,27.2
Saraburi,2020-08-12 22:00 Local,160° @ 11,26.5
Saraburi,2020-08-13 01:00 Local,170° @ 13,25
Saraburi,2020-08-13 04:00 Local,170° @ 10,24.3
Saraburi,2020-08-13 07:00 Local,180° @ 5,24.5
Saraburi,2020-08-13 10:00 Local,165° @ 13,25.9
Saraburi,2020-08-13 13:00 Local,180° @ 13,27.6
Saraburi,2020-08-13 16:00 Local,195° @ 16,27.4
Saraburi,2020-08-13 19:00 Local,195° @ 9,25.5
Saraburi,2020-08-13 22:00 Local,170° @ 11,24.7
Saraburi,2020-08-14 01:00 Local,155° @ 11,24.2
Saraburi,2020-08-14 04:00 Local,155° @ 11,23.7
Saraburi,2020-08-14 07:00 Local,165° @ 4,24.4
Saraburi,2020-08-14 10:00 Local,200° @ 12,28.3
Saraburi,2020-08-14 13:00 Local,200° @ 15,29.8
Saraburi,2020-08-14 16:00 Local,210° @ 15,28.5
Saraburi,2020-08-14 19:00 Local,185° @ 15,24.2
Saraburi,2020-08-14 22:00 Local,175° @ 11,24.1
Saraburi,2020-08-15 01:00 Local,155° @ 8,24.1
Saraburi,2020-08-15 04:00 Local,160° @ 4,23.9
Saraburi,2020-08-15 07:00 Local,160° @ 8,23.9
Saraburi,2020-08-15 10:00 Local,170° @ 6,24.4
Saraburi,2020-08-15 13:00 Local,190° @ 9,25.8
